,Education,Family,Income,Personal Loan,Mortgage,Age,Securities Account,CreditCard
0,1,4,49,0,0,25,1,0
1,1,3,34,0,0,45,1,0
2,1,1,11,0,0,39,0,0
3,2,1,100,0,0,35,0,0
4,2,4,45,0,0,35,0,1
5,2,4,29,0,155,37,0,0
6,2,2,72,0,0,53,0,0
7,3,1,22,0,0,50,0,1
8,2,3,81,0,104,35,0,0
9,3,1,180,1,0,34,0,0
10,3,4,105,0,0,65,0,0
11,2,3,45,0,0,29,0,0
12,3,2,114,0,0,48,1,0
13,2,4,40,0,0,59,0,0
14,1,1,112,0,0,67,1,0
15,3,1,22,0,0,60,0,1
16,3,4,130,1,134,38,0,0
17,1,4,81,0,0,42,0,0
18,3,2,193,1,0,46,0,0
19,2,1,21,0,0,55,1,1
20,2,4,25,0,111,56,0,0
21,3,3,63,0,0,57,0,0
22,1,1,62,0,260,29,0,0
23,1,2,43,0,163,44,1,0
24,1,2,152,0,159,36,0,1
25,1,3,29,0,97,43,0,0
26,3,4,83,0,0,40,0,0
27,1,1,158,0,0,46,0,1
28,3,1,48,0,0,56,0,1
29,2,1,119,1,0,38,0,1
30,3,1,35,0,122,59,0,0
31,2,1,29,0,0,40,0,0
32,3,2,41,0,193,53,0,0
33,3,3,18,0,0,30,0,0
34,3,4,50,0,0,31,0,0
35,1,3,81,0,0,48,0,0
36,1,1,121,0,0,59,0,1
37,3,1,71,0,198,51,0,0
38,3,3,141,1,0,42,1,0
39,3,4,80,0,285,38,0,0
40,3,3,84,0,0,57,1,0
41,1,3,60,0,0,34,0,0
42,2,4,132,1,412,32,0,0
43,1,1,45,0,0,39,0,0
44,1,1,104,0,0,46,0,1
45,1,4,52,0,0,57,0,1
46,2,3,43,0,153,39,0,0
47,3,4,194,1,211,37,1,1
48,3,2,81,0,0,56,0,1
49,1,1,49,0,0,40,0,1
50,2,4,8,0,0,32,1,0
51,1,1,131,0,0,61,0,0
52,1,1,72,0,207,30,0,0
53,3,3,190,1,240,50,0,0
54,3,1,44,0,0,29,0,0
55,1,2,139,0,0,41,0,0
56,2,3,29,0,0,55,1,0
57,3,2,131,1,0,56,0,0
58,1,2,93,0,0,28,0,0
59,1,2,188,0,455,31,0,0
60,2,3,39,0,0,49,1,0
61,1,1,125,0,112,47,1,0
62,1,1,22,0,0,42,0,0
63,2,4,32,0,0,42,0,0
64,1,2,105,0,0,47,0,0
65,1,1,131,0,0,59,0,1
66,1,2,105,0,336,62,0,0
67,3,4,45,0,132,53,1,0
68,1,3,60,0,0,47,0,1
69,1,4,20,0,0,53,0,0
70,1,1,115,0,0,42,0,1
71,2,4,69,0,0,53,0,0
72,1,1,130,0,0,44,0,1
73,3,1,85,0,0,41,0,1
74,1,2,135,0,0,28,0,1
75,2,4,135,1,0,31,0,1
76,3,3,12,0,0,58,0,0
77,2,3,29,0,0,46,0,0
78,3,2,133,1,0,54,0,0
79,1,2,19,0,118,50,0,0
80,1,4,41,0,174,60,0,1
81,2,3,40,0,0,47,0,0
82,3,1,82,0,0,41,0,0
83,2,1,50,0,0,33,0,0
84,3,1,18,0,0,46,0,0
85,3,4,109,0,0,27,0,0
86,2,4,42,0,126,40,0,0
87,1,3,78,0,0,48,0,0
88,1,2,51,0,0,65,0,0
89,3,4,113,0,0,25,0,1
90,2,4,118,1,0,55,0,0
91,3,4,29,0,0,35,0,0
92,2,3,34,0,0,43,0,0
93,3,2,64,0,236,60,1,0
94,1,1,121,0,0,65,0,0
95,3,4,48,0,0,38,0,0
96,1,1,80,0,0,41,0,0
97,1,1,161,0,0,54,0,0
98,1,1,94,0,0,49,0,0
99,3,3,15,0,0,66,0,0
100,1,1,74,0,0,48,0,0
101,2,3,30,0,0,61,0,0
102,3,3,44,0,198,53,0,1
103,2,2,22,0,0,43,0,0
104,1,4,38,0,166,56,0,1
105,2,3,35,0,0,24,1,0
106,1,4,69,0,0,43,0,1
107,1,1,43,0,136,42,0,0
108,3,1,32,0,166,33,0,0
109,1,1,49,0,0,43,0,0
110,2,3,9,0,0,41,0,0
111,2,4,45,0,0,62,0,0
112,1,3,82,0,309,40,0,0
113,1,2,92,0,103,58,0,0
114,3,3,39,0,0,39,0,0
115,2,3,81,0,0,65,0,0
116,2,1,35,0,0,54,0,0
117,3,2,61,0,193,58,0,0
118,1,3,73,0,0,41,0,0
119,1,1,112,0,366,32,0,0
120,3,2,12,0,0,54,0,0
121,3,3,38,0,0,52,0,0
122,2,2,73,0,0,58,0,1
123,2,1,84,0,0,37,1,0
124,1,4,78,0,118,39,0,0
125,1,3,80,0,0,60,0,0
126,1,2,115,0,101,31,0,1
127,2,1,82,0,251,34,0,0
128,1,2,74,0,0,38,1,0
129,3,3,70,0,0,41,0,1
130,1,3,81,0,276,28,0,0
131,2,4,149,1,0,58,0,1
132,3,2,51,0,0,31,0,0
133,2,3,39,0,0,30,0,0
134,2,3,98,0,0,53,0,0
135,1,4,45,0,0,58,0,1
136,2,4,49,0,0,59,0,0
137,1,2,128,0,0,49,0,0
138,1,3,42,0,0,59,1,1
139,3,1,18,0,0,59,0,0
140,3,2,31,0,161,51,0,1
141,1,3,58,0,149,35,0,1
142,3,1,48,0,0,33,0,1
143,1,4,54,0,0,25,0,1
144,2,2,70,0,0,49,0,0
145,1,1,124,0,0,59,0,1
146,2,1,84,0,0,46,0,1
147,3,4,83,0,188,50,0,0
148,1,2,163,0,116,52,0,0
149,2,3,42,0,0,48,0,0
150,1,2,118,0,0,46,0,1
151,3,3,132,1,0,26,0,1
152,1,1,24,0,0,57,0,1
153,1,2,22,0,0,60,1,1
154,3,4,58,0,0,54,0,0
155,1,4,60,0,0,24,0,0
156,1,4,15,0,0,26,0,1
157,1,4,83,0,0,41,0,1
158,3,2,79,0,0,32,0,1
159,2,4,41,0,0,61,1,0
160,3,4,134,1,0,29,0,0
161,1,2,80,0,0,61,0,0
162,1,1,52,0,0,38,0,0
163,1,4,70,0,0,28,0,0
164,1,2,92,0,0,53,1,0
165,1,1,43,0,0,27,0,0
166,2,3,21,0,0,25,0,0
167,3,3,23,0,0,33,0,1
168,1,4,13,0,0,50,0,0
169,3,4,112,0,0,27,0,1
170,1,2,138,0,0,27,0,0
171,1,3,11,0,0,52,1,0
172,1,2,171,0,0,38,0,0
173,1,4,42,0,0,58,0,1
174,2,2,168,1,0,42,0,0
175,2,4,85,0,0,45,1,0
176,2,3,44,0,135,52,0,0
177,2,4,65,0,244,29,0,0
178,1,4,24,0,0,53,0,1
179,1,1,11,0,0,62,0,0
180,3,2,38,0,164,51,0,0
181,2,4,10,0,81,36,0,0
182,1,1,135,0,0,24,0,0
183,1,3,148,1,0,29,0,0
184,2,2,63,0,0,52,1,0
185,3,1,115,0,0,39,0,0
186,1,1,45,0,0,48,0,1
187,3,3,159,1,315,46,0,0
188,1,2,169,0,122,64,0,0
189,1,2,112,0,0,55,0,0
190,1,1,93,0,0,60,0,0
